statename,districtname,blockname,season,sector,category,crop,querytype,querytext,createdon,year,month,clean_query
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Other,Others,Market,Farmer asked about sowing time of Onion?,2025-03-20T06:45:00,2025,3,farmer asked about sowing time of onion
MAHARASHTRA,AKOLA,SAKOLI,,HORTICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-08T02:35:00,2025,3,farmer asked about fertilizer doses for citrus crop 
MAHARASHTRA,LATUR,PUSAD,,AGRICULTURE,Other,Others,Market,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-02-03T08:13:00,2025,2,farmer asked about control of blight attack on paddy crop 
UTTAR PRADESH,LUCKNOW,SAKOLI,,HORTICULTURE,Other,Others,Market,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-03-10T02:44:00,2025,3,farmer asked about farmer id card problem
MAHARASHTRA,LATUR,PAUNI,,AGRICULTURE,Other,Others,Market,Farmer asked about irrigation schedule for Onion?,2025-02-02T11:51:00,2025,2,farmer asked about irrigation schedule for onion
UTTAR PRADESH,LUCKNOW,SAKOLI,,AGRICULTURE,Weather,Others,Market,Farmer asked about weather impact on Wheat?,2025-01-05T15:51:00,2025,1,farmer asked about weather impact on wheat
KARNATAKA,MYSURU,SAKOLI,,HORTICULTURE,Scheme,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-22T07:15:00,2025,2,farmer asked about drip irrigation schemes 
KARNATAKA,BELAGAVI,MOHADI,,HORTICULTURE,Nutrient,Others,Market,Farmer asked about nutrient spray for flowering in Orange?,2025-01-11T08:54:00,2025,1,farmer asked about nutrient spray for flowering in orange
MAHARASHTRA,YAVATMAL,SAKOLI,,HORTICULTURE,Scheme,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-24T19:46:00,2025,1,farmer asked about drip irrigation schemes 
MADHYA PRADESH,BHOPAL,SAKOLI,,HORTICULTURE,Market,Others,Plant Protection,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-23T17:19:00,2025,3,farmer asked about market rate of bengal gram
KARNATAKA,HUBBALLI,SAKOLI,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about weed management in Wheat?,2025-01-17T03:13:00,2025,1,farmer asked about weed management in wheat
KARNATAKA,MYSURU,PAUNI,,AGRICULTURE,Other,Others,Market,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-02-11T16:32:00,2025,2,farmer asked about control blight attack in green gram 
KARNATAKA,BELAGAVI,UMARKHED,,HORTICULTURE,Market,Others,Seeds,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-01-27T18:42:00,2025,1,farmer asked about market rate of turmeric crop
MADHYA PRADESH,INDORE,RALEGAON,,AGRICULTURE,Market,Others,Government Schemes,Farmer asked about market rate of Rice?,2025-02-16T14:34:00,2025,2,farmer asked about market rate of rice
KARNATAKA,BELAGAVI,PAUNI,,AGRICULTURE,Pest,Others,Seeds,Farmer asked about disease management in Watermelon?,2025-01-05T17:54:00,2025,1,farmer asked about disease management in watermelon
MADHYA PRADESH,BHOPAL,PUSAD,,HORTICULTURE,Pest,Others,Market,Farmer asked about disease management in Watermelon?,2025-01-20T23:13:00,2025,1,farmer asked about disease management in watermelon
MADHYA PRADESH,INDORE,PAUNI,,HORTICULTURE,Market,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF GREEN GRAM IN PUSAD MARKET ?,2025-01-25T09:52:00,2025,1,farmer asked about market rate of green gram in pusad market 
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Market,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-01-20T01:22:00,2025,1,farmer asked about market rate of tur in latur market
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Nutrient,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Sesame?,2025-03-18T09:57:00,2025,3,farmer asked about nutrient spray for flowering in sesame
MAHARASHTRA,YAVATMAL,RALEGAON,,AGRICULTURE,Other,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-02-15T22:19:00,2025,2,famer asked about how to store turmeric rhizomes
MAHARASHTRA,YAVATMAL,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-01-22T17:39:00,2025,1,famer asked about how to store turmeric rhizomes
MADHYA PRADESH,BHOPAL,PUSAD,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about storage method for Sugarcane?,2025-02-10T03:06:00,2025,2,farmer asked about storage method for sugarcane
UTTAR PRADESH,MEERUT,MOHADI,,HORTICULTURE,Nutrient,Others,Weather,Farmer asked about fertilizer dose for Soybean?,2025-02-05T07:59:00,2025,2,farmer asked about fertilizer dose for soybean
MAHARASHTRA,LATUR,SAKOLI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-03-16T23:33:00,2025,3,farmer asked about pradhanmantri fasal bima yojana helpline number
KARNATAKA,HUBBALLI,UMARKHED,,AGRICULTURE,Other,Others,Seeds,Farmer asked about sowing time of Rice?,2025-02-28T07:21:00,2025,2,farmer asked about sowing time of rice
MADHYA PRADESH,INDORE,RALEGAON,,AGRICULTURE,Other,Others,Market,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-02-22T01:48:00,2025,2,farmer asked about sowing time turmeric crop
TELANGANA,WARANGAL,MOHADI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-03-24T21:22:00,2025,3,farmer asked about harvestin time of groundnut
MAHARASHTRA,NAGPUR,RALEGAON,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-07T00:35:00,2025,1,farmer asked about post harvest management in turmeric seed storage 
UTTAR PRADESH,KANPUR,MOHADI,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about suitable variety for Green gram?,2025-01-26T15:50:00,2025,1,farmer asked about suitable variety for green gram
TELANGANA,WARANGAL,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-23T17:34:00,2025,1,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
TELANGANA,KARIMNAGAR,PAUNI,,HORTICULTURE,Weather,Others,Plant Protection,Farmer asked about weather impact on Pigeon pea?,2025-02-24T23:50:00,2025,2,farmer asked about weather impact on pigeon pea
MADHYA PRADESH,INDORE,RALEGAON,,HORTICULTURE,Nutrient,Others,Nutrient Management,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-03-23T04:19:00,2025,3,farmer asked about use of nutrient application through spray for increasing size and quality of onion 
MADHYA PRADESH,INDORE,RALEGAON,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-10T02:43:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
TELANGANA,KARIMNAGAR,UMARKHED,,AGRICULTURE,Other,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-02-06T09:09:00,2025,2,famer asked about how to store turmeric rhizomes
UTTAR PRADESH,MEERUT,MOHADI,,AGRICULTURE,Market,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-02-02T02:52:00,2025,2,farmer asked about market rate of tur in latur market
UTTAR PRADESH,LUCKNOW,PAUNI,,HORTICULTURE,Scheme,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-03-07T15:50:00,2025,3,farmer asked about drip irrigation schemes 
UTTAR PRADESH,KANPUR,PAUNI,,AGRICULTURE,Pest,Others,Plant Protection,Farmer asked about disease management in Wheat?,2025-03-18T08:10:00,2025,3,farmer asked about disease management in wheat
MAHARASHTRA,AKOLA,MOHADI,,AGRICULTURE,Scheme,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-24T13:54:00,2025,1,farmer asked about drip irrigation schemes 
TELANGANA,KARIMNAGAR,MOHADI,,AGRICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-02T14:48:00,2025,3,farmer asked about market rate of bengal gram
MAHARASHTRA,WARDHA,MOHADI,,AGRICULTURE,Other,Others,Government Schemes,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-03-19T09:43:00,2025,3,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
MADHYA PRADESH,BHOPAL,SAKOLI,,HORTICULTURE,Scheme,Others,Market,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-31T23:39:00,2025,1,farmer asked about drip irrigation schemes 
UTTAR PRADESH,LUCKNOW,UMARKHED,,AGRICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-20T16:46:00,2025,1,farmer asked about fertilizer dose for soybean crop
